[388, 232;
 307, 313;
 306, 313;
 305, 312;
 305, 298;
 306, 297;
 306, 287;
 307, 286;
 307, 279;
 308, 278;
 308, 264;
 307, 263;
 307, 245;
 306, 244;
 306, 241;
 305, 240;
 305, 228;
 304, 227;
 304, 224;
 303, 223;
 303, 220;
 302, 219;
 302, 217;
 301, 216;
 301, 214;
 300, 213;
 300, 211;
 299, 210;
 299, 208;
 298, 207;
 298, 204;
 297, 203;
 297, 200;
 296, 199;
 296, 197;
 295, 196;
 295, 195;
 294, 194;
 294, 193;
 292, 191;
 292, 190;
 289, 187;
 289, 186;
 288, 185;
 288, 184;
 285, 181;
 285, 180;
 283, 178;
 283, 177;
 279, 173;
 279, 172;
 264, 157;
 263, 157;
 258, 152;
 257, 152;
 253, 148;
 252, 148;
 249, 145;
 248, 145;
 245, 142;
 244, 142;
 242, 140;
 241, 140;
 240, 139;
 239, 139;
 238, 138;
 237, 138;
 236, 137;
 234, 137;
 233, 136;
 232, 136;
 231, 135;
 230, 135;
 229, 134;
 228, 134;
 227, 133;
 226, 133;
 225, 132;
 224, 132;
 223, 131;
 221, 131;
 220, 130;
 217, 130;
 216, 129;
 213, 129;
 212, 128;
 208, 128;
 207, 127]
[344, 1;
 347, 4;
 347, 5;
 354, 12;
 354, 13;
 365, 24;
 365, 25;
 374, 34;
 374, 35;
 385, 46;
 385, 47;
 388, 50;
 388, 1]
[1, 1;
 1, 34;
 2, 34;
 4, 32;
 5, 32;
 9, 28;
 10, 28;
 13, 25;
 14, 25;
 18, 21;
 19, 21;
 24, 16;
 25, 16;
 31, 10;
 32, 10;
 39, 3;
 40, 3;
 42, 1]
